textbox7
MUNICÍPIOS ATENDIDOS PELA DISTRIBUIDORA CELETRO

NomeMunicipio,SiglaEstado
Agudo,RS
Arroio do Tigre,RS
Caçapava do Sul,RS
Cachoeira do Sul,RS
Candelária,RS
Cerro Branco,RS
Dona Francisca,RS
Encruzilhada do Sul,RS
Estrela Velha,RS
Faxinal do Soturno,RS
Ibarama,RS
Júlio de Castilhos,RS
Lagoa Bonita do Sul,RS
Lagoão,RS
Lavras do Sul,RS
Nova Palma,RS
Novo Cabrais,RS
Paraíso do Sul,RS
Passa Sete,RS
Pinhal Grande,RS
Restinga Seca,RS
Rio Pardo,RS
Salto do Jacuí,RS
Santa Margarida do Sul,RS
Santa Maria,RS
São Gabriel,RS
São Sepé,RS
Segredo,RS
Sobradinho,RS
Vila Nova do Sul,RS

