textbox7
MUNICÍPIOS ATENDIDOS PELA DISTRIBUIDORA EMR

NomeMunicipio,SiglaEstado
Além Paraíba,MG
Alto Jequitibá,MG
Antônio Prado de Minas,MG
Araponga,MG
Argirita,MG
Astolfo Dutra,MG
Barão de Monte Alto,MG
Cajuri,MG
Canaã,MG
Caputira,MG
Carmo,RJ
Cataguases,MG
Coimbra,MG
Descoberto,MG
Divinésia,MG
Dona Eusébia,MG
Durandé,MG
Ervália,MG
Eugenópolis,MG
Guarani,MG
Guidoval,MG
Guiricema,MG
Itamarati de Minas,MG
Laranjal,MG
Leopoldina,MG
Luisburgo,MG
Manhuaçu,MG
Manhumirim,MG
Martins Soares,MG
Matipó,MG
Mercês,MG
Miradouro,MG
Miraí,MG
Muriaé,MG
Nova Friburgo,RJ
Palma,MG
Patrocínio do Muriaé,MG
Paula Cândido,MG
Pedra do Anta,MG
Pedra Dourada,MG
Pirapetinga,MG
Piraúba,MG
Recreio,MG
Reduto,MG
Rio Novo,MG
Rio Pomba,MG
Rochedo de Minas,MG
Rodeiro,MG
Rosário da Limeira,MG
Santa Margarida,MG
Santana de Cataguases,MG
Santana do Manhuaçu,MG
Santo Antônio do Aventureiro,MG
São Geraldo,MG
São João do Manhuaçu,MG
São João Nepomuceno,MG
São Miguel do Anta,MG
São Sebastião da Vargem Alegre,MG
Senador Cortes,MG
Senador Firmino,MG
Sericita,MG
Silveirânia,MG
Simonésia,MG
Sumidouro,RJ
Tabuleiro,MG
Tocantins,MG
Ubá,MG
Viçosa,MG
Vieiras,MG
Visconde do Rio Branco,MG

