textbox7
MUNICÍPIOS ATENDIDOS PELA DISTRIBUIDORA CELESC-DIS

NomeMunicipio,SiglaEstado
Abdon Batista,SC
Abelardo Luz,SC
Agrolândia,SC
Agronômica,SC
Água Doce,SC
Águas de Chapecó,SC
Águas Frias,SC
Águas Mornas,SC
Alfredo Wagner,SC
Alto Bela Vista,SC
Anchieta,SC
Angelina,SC
Anita Garibaldi,SC
Antônio Carlos,SC
Apiúna,SC
Arabutã,SC
Araquari,SC
Araranguá,SC
Arroio Trinta,SC
Arvoredo,SC
Ascurra,SC
Atalanta,SC
Aurora,SC
Balneário Arroio do Silva,SC
Balneário Barra do Sul,SC
Balneário Camboriú,SC
Balneário Gaivota,SC
Bandeirante,SC
Barra Bonita,SC
Barra Velha,SC
Bela Vista do Toldo,SC
Belmonte,SC
Benedito Novo,SC
Biguaçu,SC
Blumenau,SC
Bocaina do Sul,SC
Bom Jardim da Serra,SC
Bom Jesus do Oeste,SC
Bom Retiro,SC
Bombinhas,SC
Botuverá,SC
Braço do Trombudo,SC
Brunópolis,SC
Brusque,SC
Caçador,SC
Caibi,SC
Calmon,SC
Camboriú,SC
Campo Alegre,SC
Campo Belo do Sul,SC
Campo Erê,SC
Campos Novos,SC
Canelinha,SC
Canoinhas,SC
Capão Alto,SC
Capinzal,SC
Capivari de Baixo,SC
Catanduvas,SC
Caxambu do Sul,SC
Celso Ramos,SC
Cerro Negro,SC
Chapadão do Lageado,SC
Chapecó,SC
Concórdia,SC
Cordilheira Alta,SC
Coronel Freitas,SC
Coronel Martins,SC
Correia Pinto,SC
Corupá,SC
Criciúma,SC
Cunha Porã,SC
Cunhataí,SC
Curitibanos,SC
Descanso,SC
Dionísio Cerqueira,SC
Dona Emma,SC
Doutor Pedrinho,SC
Ermo,SC
Erval Velho,SC
Faxinal dos Guedes,SC
Flor do Sertão,SC
Florianópolis,SC
Formosa do Sul,SC
Fraiburgo,SC
Frei Rogério,SC
Galvão,SC
Garopaba,SC
Garuva,SC
Gaspar,SC
General Carneiro,PR
Governador Celso Ramos,SC
Guabiruba,SC
Guaraciaba,SC
Guaramirim,SC
Guaratuba,PR
Guarujá do Sul,SC
Guatambú,SC
Herval d´Oeste,SC
Ibiam,SC
Ibicaré,SC
Ibirama,SC
Içara,SC
Ilhota,SC
Imaruí,SC
Imbituba,SC
Imbuia,SC
Indaial,SC
Iomerê,SC
Ipira,SC
Iporã do Oeste,SC
Ipuaçu,SC
Ipumirim,SC
Iraceminha,SC
Irani,SC
Irati,SC
Irineópolis,SC
Itá,SC
Itaiópolis,SC
Itajaí,SC
Itapema,SC
Itapiranga,SC
Itapoá,SC
Ituporanga,SC
Jaborá,SC
Jacinto Machado,SC
Jaguaruna,SC
Jaraguá do Sul,SC
Jardinópolis,SC
Joaçaba,SC
Joinville,SC
José Boiteux,SC
Jupiá,SC
Lacerdópolis,SC
Lages,SC
Laguna,SC
Laurentino,SC
Lauro Muller,SC
Lebon Régis,SC
Leoberto Leal,SC
Lindóia do Sul,SC
Lontras,SC
Luiz Alves,SC
Luzerna,SC
Macieira,SC
Mafra,SC
Major Gercino,SC
Major Vieira,SC
Maracajá,SC
Maravilha,SC
Massaranduba,SC
Matos Costa,SC
Meleiro,SC
Mirim Doce,SC
Modelo,SC
Mondaí,SC
Monte Carlo,SC
Monte Castelo,SC
Morro da Fumaça,SC
Navegantes,SC
Nova Erechim,SC
Nova Itaberaba,SC
Nova Trento,SC
Nova Veneza,SC
Novo Horizonte,SC
Orleans,SC
Otacílio Costa,SC
Ouro,SC
Ouro Verde,SC
Paial,SC
Painel,SC
Palhoça,SC
Palma Sola,SC
Palmas,PR
Palmeira,SC
Palmitos,SC
Papanduva,SC
Paraíso,SC
Passo de Torres,SC
Passos Maia,SC
Pedras Grandes,SC
Penha,SC
Peritiba,SC
Pescaria Brava,SC
Petrolândia,SC
Piçarras,SC
Pinhalzinho,SC
Pinheiro Preto,SC
Piratuba,SC
Planalto Alegre,SC
Pomerode,SC
Ponte Alta,SC
Ponte Alta do Norte,SC
Ponte Serrada,SC
Porto Belo,SC
Porto União,SC
Pouso Redondo,SC
Presidente Castelo Branco,SC
Presidente Getúlio,SC
Presidente Nereu,SC
Princesa,SC
Quilombo,SC
Rancho Queimado,SC
Rio das Antas,SC
Rio do Campo,SC
Rio do Oeste,SC
Rio do Sul,SC
Rio dos Cedros,SC
Rio Negrinho,SC
Rio Negro,PR
Rio Rufino,SC
Riqueza,SC
Rodeio,SC
Romelândia,SC
Salete,SC
Saltinho,SC
Salto Veloso,SC
Sangão,SC
Santa Cecília,SC
Santa Helena,SC
Santa Rosa do Sul,SC
Santa Terezinha,SC
Santa Terezinha do Progresso,SC
Santiago do Sul,SC
Santo Amaro da Imperatriz,SC
São Bento do Sul,SC
São Bernardino,SC
São Carlos,SC
São Cristovão do Sul,SC
São Domingos,SC
São Francisco do Sul,SC
São João Batista,SC
São João do Itaperiú,SC
São João do Oeste,SC
São João do Sul,SC
São Joaquim,SC
São José,SC
São José do Cedro,SC
São José do Cerrito,SC
São Lourenço do Oeste,SC
São Miguel da Boa Vista,SC
São Miguel do Oeste,SC
São Pedro de Alcântara,SC
Saudades,SC
Schroeder,SC
Seara,SC
Serra Alta,SC
Siderópolis,SC
Sombrio,SC
Sul Brasil,SC
Taió,SC
Tangará,SC
Tigrinhos,SC
Tijucas,SC
Timbó,SC
Timbó Grande,SC
Três Barras,SC
Treze de Maio,SC
Treze Tílias,SC
Trombudo Central,SC
Tubarão,SC
Tunápolis,SC
Turvo,SC
União do Oeste,SC
Urubici,SC
Urupema,SC
Vargeão,SC
Vargem,SC
Vargem Bonita,SC
Vidal Ramos,SC
Videira,SC
Vitor Meireles,SC
Witmarsum,SC
Xavantina,SC
Zortéa,SC

