textbox7
MUNICÍPIOS ATENDIDOS PELA DISTRIBUIDORA Equatorial AL

NomeMunicipio,SiglaEstado
Água Branca,AL
Anadia,AL
Arapiraca,AL
Atalaia,AL
Barra de Santo Antônio,AL
Barra de São Miguel,AL
Batalha,AL
Belém,AL
Belo Monte,AL
Boca da Mata,AL
Branquinha,AL
Cacimbinhas,AL
Cajueiro,AL
Campestre,AL
Campo Alegre,AL
Campo Grande,AL
Canapi,AL
Capela,AL
Carneiros,AL
Chã Preta,AL
Coité do Nóia,AL
Colônia Leopoldina,AL
Coqueiro Seco,AL
Coruripe,AL
Craíbas,AL
Delmiro Gouveia,AL
Dois Riachos,AL
Estrela de Alagoas,AL
Feira Grande,AL
Feliz Deserto,AL
Flexeiras,AL
Girau do Ponciano,AL
Ibateguara,AL
Igaci,AL
Igreja Nova,AL
Inhapi,AL
Jacaré dos Homens,AL
Jacuípe,AL
Japaratinga,AL
Jaramataia,AL
Jequiá da Praia,AL
Joaquim Gomes,AL
Jundiá,AL
Junqueiro,AL
Lagoa da Canoa,AL
Limoeiro de Anadia,AL
Maceió,AL
Major Isidoro,AL
Mar Vermelho,AL
Maragogi,AL
Maravilha,AL
Marechal Deodoro,AL
Maribondo,AL
Mata Grande,AL
Matriz de Camaragibe,AL
Messias,AL
Minador do Negrão,AL
Monteirópolis,AL
Murici,AL
Novo Lino,AL
Olho d´Água das Flores,AL
Olho d´Água do Casado,AL
Olho d´Água Grande,AL
Olivença,AL
Ouro Branco,AL
Palestina,AL
Palmeira dos Índios,AL
Pão de Açúcar,AL
Pariconha,AL
Paripueira,AL
Passo de Camaragibe,AL
Paulo Jacinto,AL
Penedo,AL
Piaçabuçu,AL
Pilar,AL
Pindoba,AL
Piranhas,AL
Poço das Trincheiras,AL
Porto Calvo,AL
Porto de Pedras,AL
Porto Real do Colégio,AL
Quebrangulo,AL
Rio Largo,AL
Roteiro,AL
Santa Luzia do Norte,AL
Santana do Ipanema,AL
Santana do Mundaú,AL
São Brás,AL
São José da Laje,AL
São José da Tapera,AL
São Luís do Quitunde,AL
São Miguel dos Campos,AL
São Miguel dos Milagres,AL
São Sebastião,AL
Satuba,AL
Senador Rui Palmeira,AL
Tanque d´Arca,AL
Taquarana,AL
Teotônio Vilela,AL
Traipu,AL
União dos Palmares,AL
Viçosa,AL

