textbox7
MUNICÍPIOS ATENDIDOS PELA DISTRIBUIDORA COPREL

NomeMunicipio,SiglaEstado
Água Santa,RS
Alto Alegre,RS
Barros Cassal,RS
Boa Vista do Cadeado,RS
Boa Vista do Incra,RS
Bozano,RS
Camargo,RS
Campos Borges,RS
Capão do Cipó,RS
Casca,RS
Caseiros,RS
Chapada,RS
Charrua,RS
Ciríaco,RS
Colorado,PR
Condor,RS
Coqueiros do Sul,RS
Coxilha,RS
Cruz Alta,RS
David Canabarro,RS
Ernestina,RS
Espumoso,RS
Estação,RS
Floriano Peixoto,RS
Fortaleza dos Valos,RS
Gentil,RS
Getúlio Vargas,RS
Ibiaçá,RS
Ibiraiaras,RS
Ibirapuitã,RS
Ibirubá,RS
Jacuizinho,RS
Jari,RS
Jóia,RS
Júlio de Castilhos,RS
Lagoa dos Três Cantos,RS
Lagoa Vermelha,RS
Lagoão,RS
Marau,RS
Mato Castelhano,RS
Montauri,RS
Mormaço,RS
Muliterno,RS
Não-Me-Toque,RS
Nicolau Vergueiro,RS
Nova Alvorada,RS
Palmeira das Missões,RS
Panambi,RS
Passo Fundo,RS
Pejuçara,RS
Pontão,RS
Quevedos,RS
Quinze de Novembro,RS
Ronda Alta,RS
Rondinha,RS
Saldanha Marinho,RS
Salto do Jacuí,RS
Sananduva,RS
Santa Bárbara do Sul,RS
Santa Cecilia do Sul,RS
Santo Antônio do Palma,RS
Santo Antônio do Planalto,RS
São Miguel das Missões,RS
Sarandi,PR
Selbach,RS
Sertão,RS
Soledade,PB
Tapejara,PR
Tapera,RS
Tio Hugo,RS
Tunas,RS
Tupanciretã,RS
Vanini,RS
Victor Graeff,RS
Vila Lângaro,RS
Vila Maria,RS

